id,blversion_id,rule_id,default_openstrategy,blversion_number,start_time,number_openstrategy,updateAction_value,totalSize_MB,sourceBlVersion_value,device_cnt,open_ratio,total_device_in_network_x,total_package_size_x,upgrade_path_count,total_device_in_network_y,total_package_size_y
1,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-06-05 19:00:00,0,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),384,0.1,38.400000000000006,37466.66496,1,5284.5,5156057.056799999
2,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-06-05 19:00:00,1,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),384,0.1,38.400000000000006,37466.66496,1,5284.5,5156057.056799999
3,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-06-05 19:00:00,2,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),384,0.1,38.400000000000006,37466.66496,1,5284.5,5156057.056799999
4,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-06-05 19:00:00,3,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),384,0.1,38.400000000000006,37466.66496,1,5284.5,5156057.056799999
5,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-06-05 19:00:00,4,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),384,0.1,38.400000000000006,37466.66496,1,5284.5,5156057.056799999
15,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-06-05 19:00:00,4,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),10185,0.1,1018.5,993744.7464,1,5284.5,5156057.056799999
11,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-06-05 19:00:00,0,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),10185,0.1,1018.5,993744.7464,1,5284.5,5156057.056799999
12,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-06-05 19:00:00,1,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),10185,0.1,1018.5,993744.7464,1,5284.5,5156057.056799999
13,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-06-05 19:00:00,2,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),10185,0.1,1018.5,993744.7464,1,5284.5,5156057.056799999
14,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-06-05 19:00:00,3,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),10185,0.1,1018.5,993744.7464,1,5284.5,5156057.056799999
6,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-07-05 19:00:00,5,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),48,0.1,4.800000000000001,4683.33312,1,1984.0,1935777.6896000002
7,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-07-05 19:00:00,6,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),48,0.1,4.800000000000001,4683.33312,1,1984.0,1935777.6896000002
16,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-07-05 19:00:00,5,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),9872,0.1,987.2,963205.51168,1,1984.0,1935777.6896000002
17,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-07-05 19:00:00,6,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),9872,0.1,987.2,963205.51168,1,1984.0,1935777.6896000002
18,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-08-05 19:00:00,7,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),9719,0.1,971.9000000000001,948277.38736,1,976.0000000000001,952277.7344000001
8,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-08-05 19:00:00,7,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),41,0.1,4.1000000000000005,4000.3470400000006,1,976.0000000000001,952277.7344000001
19,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-09-05 19:00:00,8,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),6857,0.1,685.7,669033.65008,1,713.8000000000001,696450.66272
9,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-09-05 19:00:00,8,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),281,0.1,28.1,27417.01264,1,713.8000000000001,696450.66272
10,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-10-05 19:00:00,all,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),31,0.10000000000000009,3.1000000000000028,3024.6526400000025,1,477.1000000000004,465503.7982400004
20,7.18291e+18,7.18883e+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),2024-10-05 19:00:00,all,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),4740,0.10000000000000009,474.0000000000004,462479.1456000004,1,477.1000000000004,465503.7982400004
